plz,adresse,bezirk,anschluss_1,anschluss_2,anschluss_3,anschluss_4,ladeleistung_1,ladeleistung_2,ladeleistung_3,ladeleistung_4,anzahl_ladepunkte,lng,lat
"10115",Eichendorffstr. 12,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3869999999995,52.531325999997
"10117",Claire-Waldoff-Str. 6,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3865619999994,52.5248389999969
"10115",Schlegelstr. 28,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3857429999995,52.529822999997
"13355",Gartenstr. 48,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3841689999994,52.536325999997
"10115",Hannoversche Str. 6,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3834749999994,52.527261999997
"13355",Hussitenstr. 34,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3832439999994,52.5419599999969
"13357",Bastianstr. 24,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3819199999994,52.551367999997
"13359",Soldiner Str. 63,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3793799999994,52.560529999997
"10115",Wöhlertstr. 18,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3777849999994,52.5365619999969
"10115",Habersaathstr. 34,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3776199999994,52.531846999997
"10115",Invalidenstr. 44,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3775419999994,52.5292759999969
"13357",Kolberger Str. 30,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3747159999994,52.543990999997
"13357",Pankstr. 72,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3744539999994,52.5481209999969
"13347",Schulzendorfer Str. 26,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3714249999993,52.5401639999969
"13409",Reginhardstr. 32,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3712249999994,52.560528999997
"10115",Kieler Str. 5,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3703169999993,52.534299999997
"10557",Heidestr. 2,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3696289999995,52.5286449999969
"13347",Plantagenstr. 43,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3690949999994,52.5462069999969
"10557",Clara-Jaschke-Str. 88,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3662339999993,52.5234269999969
"10557",Lehrter Str. 61,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3623959999993,52.530043999997
"13347",Nazarethkirchstr. 41,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3615749999993,52.5493219999969
"13347",Groninger Str. 39,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3613049999994,52.5549459999969
"13347",Turiner Str. 22,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3584989999994,52.549796999997
"13407",Rütlistr. 13,Reinickendorf,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3571749999994,52.5624589999969
"13353",Nordufer 6,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3562029999994,52.5393919999969
"13353",Genter Str. 45,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3540839999994,52.5470889999969
"13407",Aroser Allee 116,Reinickendorf,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3516279999994,52.5671709999969
"13349",Bristolstr. 21,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3502239999994,52.558926999997
"10557",Thomasiusstr. 16,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3500809999993,52.5218469999969
"10559",Birkenstr. 68,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3500469999994,52.5299789999969
"10559",Rathenower Str. 35,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3499599999994,52.5345659999969
"10557",Kirchstr. 2,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3493059999994,52.5241269999969
"13353",Buchstr. 1,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3486989999993,52.5390599999969
"10559",Havelberger Str. 17,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3470279999993,52.5344549999969
"10557",Flensburger Str. 20,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3429719999993,52.5205629999969
"10551",Birkenstr. 33,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3410479999993,52.5324409999969
"13351",Cornelius-Fredericks-Str. 76,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3408729999993,52.554992999997
"13351",Transvaalstr. 32,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3406959999994,52.551303999997
"10551",Jonasstr. 1,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3392619999993,52.5268159999968
"10555",Jagowstr. 20,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3340779999993,52.5236039999968
"10555",Alt Moabit 72,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3324209999993,52.5241279999969
"10551",Waldenserstr. 10,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3317299999992,52.5290189999969
"10555",Zwinglistraße 29A,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3308599999993,52.5255599999968
"10587",Franklinstr. 13,Charlottenburg-Wilmersdorf,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3279929999993,52.5210419999968
"10553",Erasmusstr. 20,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3272099999992,52.5261109999968
"10553",Rostocker Str. 20,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,22,22,,,2,13.3267199999992,52.5307699999968
"10553",Kaiserin-Augusta-Allee 113,Mitte,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3234489999993,52.5254409999968
"10587",Morsestr. 2,Charlottenburg-Wilmersdorf,AC Steckdose Typ 2,AC Steckdose Typ 2,,,11,11,,,2,13.3221499999993,52.5217749999969
