pop,lng,lat
340,13.38011226,52.51167288
84,13.38082406,52.51436341
435,13.38157665,52.51293009
17,13.38311622,52.51473502
3,13.38403891,52.51317923
3,13.40220579,52.51237071
0,13.39786925,52.51205628
825,13.39886582,52.51170478
19,13.39735756,52.51250223
0,13.4014933,52.51186946
18,13.39746287,52.51489142
0,13.39840017,52.51401663
127,13.3978348,52.51366007
100,13.39914638,52.5128182
0,13.40051361,52.51228486
0,13.39696266,52.5167778
48,13.39695107,52.51568935
0,13.39742237,52.51582403
0,13.39783486,52.51720537
0,13.39895135,52.51596595
0,13.39865575,52.51649802
0,13.39908207,52.51682927
0,13.40060209,52.51473409
0,13.40205913,52.51314056
0,13.40287158,52.51156757
99,13.40583969,52.51309939
0,13.40527611,52.51233951
1119,13.40570861,52.5121802
1149,13.40777187,52.51378847
0,13.4095622,52.51359565
116,13.4072466,52.51176286
163,13.4045364,52.5083509
0,13.40773462,52.50870347
0,13.40847107,52.50760114
627,13.40768469,52.50727744
247,13.40622367,52.50831948
0,13.40900105,52.5100532
1171,13.41085245,52.50850277
585,13.41167042,52.50652041
48,13.41255213,52.51345056
0,13.41478735,52.51347924
0,13.41366836,52.51288496
73,13.4130475,52.51220912
145,13.41429881,52.51203458
137,13.41607602,52.51182408
230,13.41646016,52.51334743
387,13.41900917,52.51297372
166,13.42028365,52.51138721
193,13.41749094,52.5116595
586,13.42093148,52.50863008
266,13.42239207,52.50848674
0,13.42288668,52.5076307
313,13.4253879,52.50753481
403,13.425733,52.50668327
0,13.41984049,52.50794744
0,13.41925579,52.50711652
0,13.41815424,52.50560705
0,13.41700723,52.5066801
1926,13.4154575,52.50608314
348,13.41314891,52.50547557
143,13.41407126,52.50486111
0,13.42076923,52.50558276
0,13.42432972,52.50544006
0,13.42721067,52.50661937
0,13.41477725,52.51413377
184,13.40994332,52.5126055
22,13.41065746,52.51148511
314,13.41220001,52.51170102
278,13.41753929,52.50907538
2696,13.41743681,52.50876695
522,13.42395327,52.50605672
984,13.42174729,52.50665539
412,13.42089891,52.50622967
1227,13.40720201,52.5103704
1165,13.41467412,52.51010597
80,13.41421425,52.51049183
521,13.41267982,52.50972587
448,13.42264331,52.51025795
32,13.42504895,52.50988187
332,13.42491323,52.5103922
344,13.4252693,52.50923378
0,13.42762629,52.50847325
0,13.40422764,52.51159139
0,13.4070123,52.51192353
0,13.40966266,52.51296747
547,13.42238447,52.52333453
0,13.42124976,52.52316551
522,13.42585842,52.52103766
421,13.42814946,52.52076502
0,13.4273346,52.52010938
0,13.42482626,52.52232246
152,13.42500506,52.52299483
115,13.42341413,52.52143672
313,13.42519116,52.51992913
0,13.41653989,52.52102684
598,13.41958991,52.52054257
695,13.41776465,52.51972922
78,13.41923508,52.5192378
262,13.42031217,52.51956997
512,13.41954402,52.51795891
0,13.4176291,52.51609991
42,13.42106066,52.51403356
795,13.42447703,52.51758786
0,13.42591906,52.5175032
9,13.42363372,52.51737807
665,13.42285879,52.51871016
0,13.42166765,52.52442136
0,13.41626061,52.52028329
288,13.41723907,52.5171057
602,13.42430412,52.51463253
0,13.41938028,52.52318691
495,13.42108174,52.52208254
366,13.4205168,52.5213589
0,13.42279424,52.5207024
1415,13.42039584,52.51616997
0,13.42196269,52.51535842
0,13.42346378,52.51495836
0,13.42334703,52.51599294
0,13.41583623,52.51909291
121,13.41690973,52.51800128
0,13.42065175,52.51335579
0,13.42066341,52.51377158
0,13.41967851,52.51417112
3,13.3306964,52.54031269
0,13.34722071,52.53746994
0,13.35244926,52.53807361
0,13.35485486,52.53807571
118,13.32091773,52.53224458
415,13.32680983,52.53312506
192,13.35786819,52.53742285
788,13.31586121,52.52991003
80,13.3185927,52.53004455
995,13.31779679,52.52953581
709,13.35943772,52.53456449
2053,13.36796077,52.53221623
0,13.37193018,52.52818944
469,13.3641736,52.52924541
269,13.31596602,52.52878773
0,13.31713048,52.52762884
348,13.31694775,52.52620405
0,13.32161979,52.52690289
28,13.3652425,52.52802305
246,13.36513938,52.52646079
0,13.36628545,52.52688743
143,13.32077299,52.52516879
81,13.32845343,52.5237009
0,13.32478987,52.52499477
0,13.3306697,52.54119705
0,13.32796184,52.53961442
0,13.32944641,52.53865461
