usage,usage_plain,lng,lat
130,Park / green space,13.4485244286284,52.4482445274695
110,Body of water,13.4485573440092,52.4482437191633
10,Housing area,13.4535641441345,52.446771900703
10,Housing area,13.4521486330659,52.4467893521123
10,Housing area,13.4507841861205,52.4466946293811
10,Housing area,13.4492045733869,52.4466560832444
10,Housing area,13.4479232952606,52.4466487057802
10,Housing area,13.4465843420924,52.4470573858775
10,Housing area,13.4453028276445,52.4470911406651
10,Housing area,13.4449150557711,52.4501169301918
10,Housing area,13.4443450119018,52.4470185099355
10,Housing area,13.4477860648422,52.4449744205031
10,Housing area,13.447014020217,52.4437994043972
10,Housing area,13.4511737943809,52.4445629856707
10,Housing area,13.4539063444972,52.4448471742833
10,Housing area,13.4535251265788,52.4436785638978
10,Housing area,13.455145456091,52.4435356495361
10,Housing area,13.456971947714,52.4445338639555
130,Park / green space,13.4694312806484,52.446667859779
160,Allotment garden,13.4639603710404,52.4477100897872
70,Weekend cottage / allotment-garden-type area,13.4649721029084,52.4472042408653
160,Allotment garden,13.4692617289411,52.445164626262
160,Allotment garden,13.4752197876789,52.4424021717738
160,Allotment garden,13.467331971808,52.4430130369988
10,Housing area,13.4602728365797,52.4448613779412
50,Public / special use,13.4726893251492,52.4406405808248
10,Housing area,13.4476395193308,52.4329805864217
10,Housing area,13.448823032719,52.4328284986416
10,Housing area,13.4472088607015,52.4320456571109
130,Park / green space,13.4468954438982,52.4311933967372
10,Housing area,13.4466074512988,52.4303526497423
10,Housing area,13.4449589891273,52.4297308409799
10,Housing area,13.4457935414617,52.4289157641508
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4602001874545,52.4546492391554
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4701919622256,52.4469122310529
130,Park / green space,13.4449852030232,52.4458540706121
80,Traffic area (without roads),13.4478714757734,52.4457239512233
80,Traffic area (without roads),13.4513319281465,52.445585851544
80,Traffic area (without roads),13.4538268352376,52.4454878194557
130,Park / green space,13.4531314025038,52.450156930068
130,Park / green space,13.4544467455712,52.4469592878406
130,Park / green space,13.4556211070209,52.444067192082
130,Park / green space,13.449267438406,52.4518795826168
80,Traffic area (without roads),13.4497051405091,52.4501612076677
140,City square / promenade,13.4499532629579,52.4483093592927
80,Traffic area (without roads),13.4498642673592,52.4467148956274
80,Traffic area (without roads),13.449538802021,52.4447533149246
80,Traffic area (without roads),13.4485132080497,52.4433257454269
40,Commercial and industrial area,13.4567972146678,52.4531153658721
10,Housing area,13.4459560585888,52.4430156060636
10,Housing area,13.4508402600026,52.4395209143858
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4488080012227,52.4588774511177
70,Weekend cottage / allotment-garden-type area,13.4551988118967,52.4580552128428
40,Commercial and industrial area,13.4531410342629,52.4570411918963
40,Commercial and industrial area,13.45521632751,52.4567994332398
50,Public / special use,13.4517956355469,52.4582178581727
40,Commercial and industrial area,13.4561739224498,52.4556851038831
50,Public / special use,13.4572598939472,52.454262942685
130,Park / green space,13.45497591353,52.457527614341
21,Mixed area,13.4594555474805,52.4529953555641
40,Commercial and industrial area,13.4609987195946,52.4516574852356
10,Housing area,13.4461098379482,52.4389847201894
10,Housing area,13.4467371791782,52.4285346121348
173,"Fallow area, mixed vegetation - meadows, trees, bushes",13.4469209723303,52.4580980060539
