traffic,lng,lat
7800,13.28485369,52.48671873
16300,13.28443774,52.48751633
17500,13.28179724,52.48339519
16500,13.28471685,52.49011637
9200,13.28711975,52.48764761
10800,13.28979359,52.48909524
8600,13.28578216,52.48693139
10000,13.28878913,52.48855326
26600,13.28400623,52.49643899
9500,13.28053455,52.49212496
22400,13.28099902,52.50010255
7500,13.28314801,52.49753142
22700,13.2841068,52.4957649
7700,13.28265881,52.49712344
7700,13.28195867,52.49769488
7700,13.2810432,52.49860374
19100,13.2849091,52.4918566
19100,13.28504131,52.49308472
29600,13.28524569,52.49424337
29600,13.28541884,52.49457605
9500,13.28108934,52.49262356
9600,13.28303365,52.49376109
9700,13.2845054,52.49398561
99000,13.28187226,52.498397
84100,13.28111434,52.49925902
86500,13.29294641,52.49255609
82000,13.2837817,52.49621024
27700,13.27976364,52.49996769
36100,13.28725554,52.49594688
35700,13.28865588,52.49656823
38000,13.28624357,52.49538665
29100,13.28566573,52.49499258
35200,13.28811126,52.49633268
11600,13.28790048,52.49597683
35700,13.28923946,52.49676005
35700,13.2900294,52.49697118
35700,13.29083075,52.49712496
9200,13.28879229,52.49534863
7300,13.28972917,52.49463628
7300,13.29037086,52.49400185
26600,13.28478335,52.49542
6100,13.28545038,52.49489549
25400,13.28538833,52.49470013
27900,13.28574378,52.49474471
35100,13.28459932,52.50647131
32800,13.28655681,52.50654319
31400,13.29018564,52.50666073
36900,13.2825711,52.50640744
36900,13.2832868,52.50642837
32800,13.2880641,52.50658946
32800,13.28884378,52.5066159
89400,13.28269067,52.50480461
98700,13.28181757,52.50582109
72700,13.28030429,52.50057228
11400,13.28055137,52.50061095
22400,13.2811311,52.501941
29900,13.27885679,52.50314154
43800,13.27947718,52.50439298
22400,13.28129231,52.5008853
7700,13.27944448,52.50080803
7700,13.28025667,52.49963359
21000,13.27875243,52.50211976
42200,13.27931521,52.50660534
36900,13.28120121,52.50638282
11200,13.28088451,52.50703555
24000,13.27814482,52.50337929
85000,13.28269276,52.50742201
95200,13.2813486,52.50411213
25400,13.27854625,52.50229784
69800,13.28046288,52.50236024
97000,13.28138143,52.49864011
37800,13.27486396,52.50058621
16700,13.28079672,52.50145565
89400,13.28157069,52.50299536
33400,13.27959825,52.50287437
9700,13.28755865,52.5158355
7900,13.28706389,52.5174494
7900,13.28722672,52.51692847
10300,13.2887944,52.51182408
48200,13.28776558,52.5103685
44800,13.28609734,52.51025761
45300,13.29038869,52.51052854
11400,13.28764758,52.51302229
13800,13.28610709,52.51292776
12500,13.2884689,52.51284367
8100,13.28908036,52.51092993
9700,13.28790526,52.51469677
89500,13.28621108,52.51493993
80100,13.28301102,52.51912103
82100,13.28642864,52.51288392
19300,13.2810063,52.51540114
15500,13.28465232,52.51284457
25400,13.28172341,52.51074689
19000,13.2813716,52.51334383
29300,13.27875536,52.50979524
28000,13.28024641,52.5098894
37000,13.28252563,52.51002398
41300,13.28385734,52.51011974
41300,13.28519797,52.51020313
10900,13.27906618,52.51270864
22800,13.28150355,52.51228566
15500,13.28240024,52.51284538
32100,13.28181828,52.50978622
5900,13.28170137,52.50918808
84100,13.28470579,52.51574981
86900,13.28421401,52.50942521
80900,13.28536979,52.51264536
6400,13.28138184,52.5082559
11500,13.28198125,52.50920373
7900,13.28653734,52.51924698
7900,13.28687328,52.51807969
7900,13.28667712,52.51872474
33100,13.2883586,52.51891302
51700,13.28315477,52.51858573
42600,13.28563458,52.51875147
42600,13.28403446,52.51860895
32700,13.29123019,52.51911429
73000,13.28312069,52.51858334
43500,13.27873983,52.51834573
19300,13.28041809,52.51766423
58400,13.28154279,52.51848883
43500,13.27704055,52.51860518
43500,13.27981622,52.51837964
5800,13.30613755,52.47261331
6600,13.30351017,52.47280401
26200,13.30664126,52.4730315
12800,13.30783172,52.46853365
4800,13.29471054,52.46612248
6600,13.30120733,52.47306705
11700,13.30024493,52.47365747
14000,13.30179865,52.47444348
14000,13.30304067,52.47507742
14500,13.30390953,52.47554397
16600,13.30543929,52.47638126
17800,13.30728732,52.47739487
20600,13.30643068,52.47286451
14100,13.29526992,52.47395367
14100,13.29759987,52.47346309
14100,13.2984747,52.4733237
23400,13.30655662,52.48007294
18300,13.30665296,52.47722995
15000,13.29933156,52.47329268
45400,13.30162799,52.48833321
38700,13.30497609,52.48830793
39200,13.30329207,52.48835432
6600,13.30332863,52.48750968
38700,13.30602958,52.48828604
47800,13.30086952,52.4880503
34000,13.29659411,52.48576165
29500,13.2924566,52.48352873
31100,13.29320683,52.48393718
32600,13.29504147,52.4849315
40500,13.30027081,52.48776039
12400,13.29284974,52.49074074
79600,13.30388129,52.48503214
74500,13.29909386,52.48856866
65500,13.30889344,52.48204449
83400,13.29340159,52.4924658
74500,13.30328656,52.48567895
70300,13.29887558,52.48889624
11800,13.30140142,52.48894433
9800,13.29904274,52.4907003
34000,13.29840416,52.48676912
10800,13.29989223,52.49006749
22800,13.30471502,52.49956167
21100,13.30250628,52.49914461
21100,13.30350468,52.49933379
22800,13.30625431,52.49984676
11200,13.30352299,52.49389337
11200,13.30234346,52.49434088
10800,13.30234174,52.49554013
11200,13.30565133,52.49315311
10400,13.30119369,52.49469474
10800,13.30118665,52.49494488
13200,13.29412543,52.49142534
14300,13.29506998,52.49191064
79900,13.28838629,52.49422728
7100,13.29589771,52.495467
21100,13.29829177,52.49835701
7600,13.2959391,52.49303801
7400,13.29570279,52.49400148
9500,13.29692109,52.49570969
6300,13.29606432,52.49677131
21100,13.2966914,52.49804526
9600,13.29632155,52.49873106
8700,13.30027762,52.4949356
10500,13.29405628,52.49632548
22700,13.29470074,52.4977325
28300,13.2933381,52.4975238
28300,13.29187341,52.49729926
10300,13.29154094,52.49698025
21100,13.29957723,52.49861051
21100,13.30101295,52.4988596
9000,13.30021452,52.4944803
8600,13.29691245,52.49284159
8800,13.29686807,52.49231174
14300,13.29608797,52.49241992
9100,13.29873025,52.49373934
9500,13.29879799,52.49530067
11200,13.30600478,52.49798393
11200,13.30526199,52.49744003
10800,13.3034646,52.49612112
11200,13.30400961,52.49650987
8300,13.29619586,52.49779323
26300,13.3042039,52.50380094
26600,13.30465322,52.50325306
8500,13.2948209,52.50459422
23200,13.30094549,52.50678747
9000,13.29613648,52.50236458
9100,13.29633427,52.50203647
9000,13.29576924,52.50298201
8700,13.29527051,52.50381152
8200,13.29506264,52.50541359
8100,13.29552846,52.50594572
22100,13.29772162,52.50680393
24500,13.30214798,52.50767993
22500,13.30312864,52.50676045
26200,13.30244734,52.50642644
26300,13.30316217,52.50523573
26300,13.30390651,52.50417826
26300,13.30355135,52.50466244
22100,13.29570307,52.5068228
7700,13.29545951,52.50745794
23200,13.29988188,52.50679004
7000,13.30511945,52.50259449
11800,13.30519834,52.50261709
30100,13.29195117,52.50671669
23600,13.29394171,52.50678456
7700,13.29651862,52.50934831
7800,13.29519111,52.50625626
7600,13.29492205,52.50661538
9600,13.29655744,52.50165359
